Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 13130ms | tok/sec: 4,991 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.476038 | lrm: 1.00 | dt: 4123ms | tok/sec: 15,895 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.242549 | lrm: 1.00 | dt: 2302ms | tok/sec: 28,475 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.855877 | lrm: 1.00 | dt: 2367ms | tok/sec: 27,690 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.513061 | lrm: 1.00 | dt: 2529ms | tok/sec: 25,913 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.234322 | lrm: 1.00 | dt: 2234ms | tok/sec: 29,342 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.017520 | lrm: 1.00 | dt: 2339ms | tok/sec: 28,024 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.844830 | lrm: 1.00 | dt: 2175ms | tok/sec: 30,137 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.697313 | lrm: 1.00 | dt: 2454ms | tok/sec: 26,703 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.575600 | lrm: 1.00 | dt: 2204ms | tok/sec: 29,735 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.473884 | lrm: 1.00 | dt: 2207ms | tok/sec: 29,699 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.386330 | lrm: 1.00 | dt: 2266ms | tok/sec: 28,915 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 6.314012 | lrm: 1.00 | dt: 2460ms | tok/sec: 26,640 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.6%) | loss: 6.247931 | lrm: 1.00 | dt: 2224ms | tok/sec: 29,469 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.3%) | loss: 6.191092 | lrm: 1.00 | dt: 2173ms | tok/sec: 30,162 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (3.0%) | loss: 6.141218 | lrm: 1.00 | dt: 2155ms | tok/sec: 30,405 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.8%) | loss: 6.097901 | lrm: 1.00 | dt: 2425ms | tok/sec: 27,030 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.6%) | loss: 6.060210 | lrm: 1.00 | dt: 2190ms | tok/sec: 29,921 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00018 (5.3%) | loss: 6.024526 | lrm: 1.00 | dt: 2119ms | tok/sec: 30,931 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00019 (6.0%) | loss: 5.991507 | lrm: 1.00 | dt: 2090ms | tok/sec: 31,360 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00020 (6.7%) | loss: 5.962444 | lrm: 1.00 | dt: 2223ms | tok/sec: 29,476 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00021 (7.4%) | loss: 5.938544 | lrm: 1.00 | dt: 2247ms | tok/sec: 29,170 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00022 (8.2%) | loss: 5.912335 | lrm: 1.00 | dt: 2135ms | tok/sec: 30,698 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00023 (8.9%) | loss: 5.890737 | lrm: 1.00 | dt: 2118ms | tok/sec: 30,940 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00024 (9.6%) | loss: 5.870399 | lrm: 1.00 | dt: 2314ms | tok/sec: 28,319 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00025 (10.4%) | loss: 5.848644 | lrm: 1.00 | dt: 2217ms | tok/sec: 29,566 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00026 (11.1%) | loss: 5.826655 | lrm: 1.00 | dt: 2120ms | tok/sec: 30,917 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00027 (11.8%) | loss: 5.806770 | lrm: 1.00 | dt: 2072ms | tok/sec: 31,626 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00028 (12.5%) | loss: 5.790281 | lrm: 1.00 | dt: 2371ms | tok/sec: 27,637 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00029 (13.3%) | loss: 5.770149 | lrm: 1.00 | dt: 2059ms | tok/sec: 31,828 | mfu: 0.2% | epoch: 1 | remaining: 258s    
