Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 2919ms | tok/sec: 22,451 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.472966 | lrm: 1.00 | dt: 2185ms | tok/sec: 29,990 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.239895 | lrm: 1.00 | dt: 2058ms | tok/sec: 31,851 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.831693 | lrm: 1.00 | dt: 2046ms | tok/sec: 32,030 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.520330 | lrm: 1.00 | dt: 2212ms | tok/sec: 29,631 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.245767 | lrm: 1.00 | dt: 2052ms | tok/sec: 31,931 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.021607 | lrm: 1.00 | dt: 2045ms | tok/sec: 32,041 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.842772 | lrm: 1.00 | dt: 2093ms | tok/sec: 31,311 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.693826 | lrm: 1.00 | dt: 2181ms | tok/sec: 30,054 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.572398 | lrm: 1.00 | dt: 2031ms | tok/sec: 32,265 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.471765 | lrm: 1.00 | dt: 2035ms | tok/sec: 32,208 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.385037 | lrm: 1.00 | dt: 2066ms | tok/sec: 31,721 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 6.313922 | lrm: 1.00 | dt: 2249ms | tok/sec: 29,135 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00013 (1.4%) | loss: 6.249030 | lrm: 1.00 | dt: 2105ms | tok/sec: 31,131 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00014 (2.1%) | loss: 6.193012 | lrm: 1.00 | dt: 2063ms | tok/sec: 31,761 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00015 (2.8%) | loss: 6.143600 | lrm: 1.00 | dt: 2038ms | tok/sec: 32,163 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.5%) | loss: 6.101050 | lrm: 1.00 | dt: 2195ms | tok/sec: 29,851 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00017 (4.2%) | loss: 6.062828 | lrm: 1.00 | dt: 2032ms | tok/sec: 32,252 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00018 (4.9%) | loss: 6.029828 | lrm: 1.00 | dt: 2062ms | tok/sec: 31,781 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00019 (5.6%) | loss: 6.000213 | lrm: 1.00 | dt: 2101ms | tok/sec: 31,194 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00020 (6.3%) | loss: 5.974337 | lrm: 1.00 | dt: 2185ms | tok/sec: 29,999 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00021 (7.0%) | loss: 5.949920 | lrm: 1.00 | dt: 2037ms | tok/sec: 32,171 | mfu: 0.2% | epoch: 1 | remaining: 277s    
step 00022 (7.7%) | loss: 5.927741 | lrm: 1.00 | dt: 2053ms | tok/sec: 31,929 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00023 (8.4%) | loss: 5.908639 | lrm: 1.00 | dt: 2035ms | tok/sec: 32,199 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00024 (9.1%) | loss: 5.891869 | lrm: 1.00 | dt: 2198ms | tok/sec: 29,814 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00025 (9.8%) | loss: 5.875274 | lrm: 1.00 | dt: 2035ms | tok/sec: 32,198 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00026 (10.5%) | loss: 5.858677 | lrm: 1.00 | dt: 2044ms | tok/sec: 32,055 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00027 (11.2%) | loss: 5.844163 | lrm: 1.00 | dt: 2032ms | tok/sec: 32,251 | mfu: 0.2% | epoch: 1 | remaining: 264s    
step 00028 (11.8%) | loss: 5.829635 | lrm: 1.00 | dt: 2183ms | tok/sec: 30,018 | mfu: 0.2% | epoch: 1 | remaining: 262s    
