Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 2926ms | tok/sec: 22,396 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2134ms | tok/sec: 30,705 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2111ms | tok/sec: 31,043 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2153ms | tok/sec: 30,439 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2235ms | tok/sec: 29,318 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2216ms | tok/sec: 29,573 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2108ms | tok/sec: 31,092 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2175ms | tok/sec: 30,128 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2250ms | tok/sec: 29,122 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2115ms | tok/sec: 30,992 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2160ms | tok/sec: 30,340 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2125ms | tok/sec: 30,845 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.320240 | lrm: 0.14 | dt: 2359ms | tok/sec: 27,777 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00013 (1.5%) | loss: 8.313198 | lrm: 0.30 | dt: 2135ms | tok/sec: 30,701 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00014 (2.2%) | loss: 8.286014 | lrm: 0.44 | dt: 2092ms | tok/sec: 31,324 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (2.9%) | loss: 8.199143 | lrm: 0.58 | dt: 2133ms | tok/sec: 30,727 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.6%) | loss: 8.033698 | lrm: 0.72 | dt: 2237ms | tok/sec: 29,290 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00017 (4.4%) | loss: 7.855894 | lrm: 0.87 | dt: 2070ms | tok/sec: 31,652 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00018 (5.1%) | loss: 7.671258 | lrm: 1.00 | dt: 2189ms | tok/sec: 29,940 | mfu: 0.2% | epoch: 1 | remaining: 283s    
