experiment_idx,name,description,overrides,status,val_bpb,num_params_M,num_steps,total_tokens_M,training_seconds,wall_time,timestamp,peak_vram_mb,mfu_percent,error,probe1_auc,probe1_dmean
0,baseline_rerun,Baseline rerun for reproducibility check,{},OK,1.951289,7.3,133.0,8.7,301.6,550.6071009635925,2026-03-24T08:49:45.059297,,,,,
1,depth_8,"Double depth: 4 -> 8 layers, ~14.6M params","{""DEPTH"": 8}",TIMEOUT,,,,,,900,,,,,,
2,depth_12,"Triple depth: 4 -> 12 layers, ~22M params","{""DEPTH"": 12}",FAILED,,,,,,18.39089608192444,,,,,,
3,wider_96,Wider model: aspect_ratio 64 -> 96,"{""ASPECT_RATIO"": 96}",OK,1.955441,13.4,84.0,5.5,322.7,688.3464670181274,2026-03-24T09:16:32.447483,,,,,
4,depth8_wider96,"Deeper + wider: depth=8, aspect_ratio=96","{""DEPTH"": 8, ""ASPECT_RATIO"": 96}",FAILED,,,,,,32.2022180557251,,,,,,
5,sliding_window_SSSL,Sliding window pattern SSSL (3 short + 1 long),"{""DEPTH"": 8, ""WINDOW_PATTERN"": ""\""SSSL\""""}",TIMEOUT,,,,,,900,,,,,,
6,higher_matrix_lr,Higher Muon LR: 0.04 -> 0.06,"{""MATRIX_LR"": 0.06}",OK,1.944196,7.3,133.0,8.7,302.1,559.2239062786102,2026-03-24T09:41:34.458309,,,,,
7,lower_matrix_lr,Lower Muon LR: 0.04 -> 0.02,"{""MATRIX_LR"": 0.02}",OK,1.935718,7.3,148.0,9.7,300.2,527.9630351066589,2026-03-24T09:50:22.464445,,,,,
8,warmup_5pct,Add 5% warmup ratio,"{""WARMUP_RATIO"": 0.05}",OK,1.942914,7.3,149.0,9.8,302.1,528.2362852096558,2026-03-24T09:59:10.759388,,,,,
9,batch_128k,Larger batch: 64K -> 128K tokens,"{""TOTAL_BATCH_SIZE"": ""2**17""}",OK,1.96381,7.3,77.0,10.1,300.1,566.7398200035095,2026-03-24T10:08:37.554991,,,,,
10,depth8_warmup_wd01,Depth 8 + warmup + lower weight decay,"{""DEPTH"": 8, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1}",FAILED,,,,,,20.642827033996582,,,,,,
11,best_combo_v1,Placeholder: combine best findings from above (updated after analysis),"{""DEPTH"": 8, ""ASPECT_RATIO"": 96, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1}",FAILED,,,,,,17.894339084625244,,,,,,
0,r2_depth8_smallbatch,Depth 8 with batch_size=8 to fit in memory,"{""DEPTH"": 8, ""DEVICE_BATCH_SIZE"": 8}",TIMEOUT,,,,,,900,,,,,,
1,r2_depth8_lowlr,Depth 8 + lower Muon LR (round 1 winner combo),"{""DEPTH"": 8, ""DEVICE_BATCH_SIZE"": 8, ""MATRIX_LR"": 0.02}",TIMEOUT,,,,,,900,,,,,,
2,r2_depth8_lowlr_warmup,Depth 8 + lower LR + warmup,"{""DEPTH"": 8, ""DEVICE_BATCH_SIZE"": 8, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05}",TIMEOUT,,,,,,900,,,,,,
3,r2_depth6_lowlr,Depth 6 (middle ground) + lower LR,"{""DEPTH"": 6, ""MATRIX_LR"": 0.02}",TIMEOUT,,,,,,900,,,,,,
4,r2_depth6_lowlr_warmup,Depth 6 + lower LR + warmup,"{""DEPTH"": 6, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05}",TIMEOUT,,,,,,900,,,,,,
5,r2_lowlr_warmup,"Lower LR + warmup (depth 4, combine two round 1 winners)","{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05}",OK,1.961953,7.3,144.0,9.4,301.8,554.318913936615,2026-03-24T12:39:08.593116,,,,,
6,r2_lowlr_warmup_wd01,Lower LR + warmup + lower weight decay,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1}",OK,1.932465,7.3,153.0,10.0,301.1,525.1324377059937,2026-03-24T12:47:53.759169,,,,,
